real_name,DRF,DRP,DWC,gfDWC,gfEMC,goDWC,goEMC,cDWC,cEMC,fDWC,fEMC,oDWC,oEMC
0,25.960639261585783,82.78081128316978,0.6801543056831983,4.306743873950587,3.2182535768132285,2.4166553297930236,8.352943018060635,4.176033194418643,5.350213985702527,3.974984581655499,0.7556774885257418,2.072600951960066,6.4378246805798955
1,36.82554852444551,89.04517335339101,14.417899590146838,2.125200647734152,2.835036647342098,2.154561580432203,8.72619884076325,0.5544987891973323,0.6750311995593471,4.9958034591117855,8.29855655873005,1.2280893319084327,9.074253703627454
2,63.943254584838584,19.002803211265125,0.24657994671024297,1.1135346895125204,7.523345545153664,2.8725363345175507,0.1999322577099116,0.182150912974378,3.4398681074650863,1.3932863412370746,2.7845280477471106,3.8291288238902803,7.910756678560867
3,13.935955898341327,29.928802711063497,18.128974810459777,0.3828606179098282,3.0445125416680696,3.2156327320433786,9.100914789145202,3.8218508010663754,1.8463656475915653,1.699415727175585,8.219234995982598,2.4851515006117,8.046698990856772
4,53.11144653305347,85.22327063954204,7.863845200511723,2.207372085170647,1.9879893981443981,1.3241469241457517,0.3947287917296173,1.1970777569712994,0.40550136948143684,2.314610864001867,4.8256816061982475,4.466880018599041,7.153782853744755
5,49.383665803247155,17.700423635732417,8.419958765818263,1.6296125080595698,2.3797465148786237,1.9792737632594923,0.9113697707572119,1.2107617129997046,3.698410441230147,4.658539891126418,0.11756267563342013,4.782858321333543,9.218600863374126
6,1.0751841686562937,55.72104827401452,11.44193418208425,2.7030439027564497,9.057657249161995,3.1441949590926397,3.9798582893719425,2.4149026290374023,9.115634590191183,2.7151213125145572,2.582718430245251,3.270038966441369,8.784507763190174
7,57.693284344757046,51.2374153859285,15.176753211893768,1.4248822048252299,5.401245098519628,1.9702489532187715,5.139709739250983,0.950018032929359,2.3577081672565936,2.1303131907767043,4.533275494251805,1.5653635592008261,2.8463611791612156
8,51.11440786573672,80.70878521293434,7.088358617317386,3.448586672077689,2.641555445594048,3.6164016774287333,2.940015106151625,0.1868114295954176,2.5870023188654883,3.727858252519827,2.7701911733479663,4.871482129171161,2.6738544278204874
9,99.79854693249408,93.67316757514425,19.73463502741334,2.7866586024069524,6.70066714092415,4.310958314661881,8.792441636041108,4.101825540850677,1.0381773134373453,4.522318114388976,5.202693769499208,3.5967031347027483,7.6470254731289415
10,87.36121075393038,59.94216321524113,16.171744799038986,4.808447615756655,5.262651368147858,1.7895855176726883,7.656572119863036,0.8958657307311748,6.081857940692338,3.9099995696580554,8.047618268834604,4.234205345578368,0.36120268884612644
11,30.369767840071553,95.29128624134377,8.743345924207311,0.5466323174851956,2.1921118041660286,1.861623913505333,6.566740823480041,0.9210088872480016,6.571249468008247,1.4117086204155684,2.975079697605829,4.595426571900958,0.5609027464392223
12,64.32108504251201,95.05253568625592,9.113259831462994,2.639951718868768,7.454362490341677,0.8872083128234259,5.460072127603138,0.6998647207633512,4.473112900160467,1.0065944752501992,9.100836258865876,2.0894990865373018,8.454620841097926
13,79.89768739523134,68.7501950650183,4.874541792089931,0.012327163722317232,6.880215727032109,1.376049021543081,8.288715732093626,2.5775271105044277,7.799346244805675,1.469516001991914,4.362131334953826,2.628226133774147,2.868511056198097
14,19.794437595012496,11.372205673989413,15.252093786823872,0.40595144851855003,0.5179091080922062,1.7262607996117207,5.510526299382237,1.4840985346758115,8.727192106125319,3.799489379393842,6.518554498327653,0.7469610620530853,5.368304219879089
15,45.35496916069721,77.16861582640618,18.24759017527104,3.944499661899172,8.9958910430331,3.369611368738635,9.999662378375817,4.119198237086168,6.0185199197430705,1.974469221223284,2.7264403702211486,2.4411382364606222,5.814148635220029
16,14.77247836850268,24.809932552747625,1.5591502548792133,4.9758203637666805,3.6910229082385437,2.1528519637634296,5.314653223774167,4.87153686088374,9.632717997383569,1.8722671423739536,6.792338181018582,0.9509452648907764,9.198527151367124
17,4.398367636694887,86.80424188506221,2.4508813538266856,1.3708458411066795,5.523388926458832,1.006884623641836,3.6772792675243533,2.025228585463146,2.205591660384756,0.11556129933282909,9.58798851497713,3.033696721832598,9.021832394557272
18,45.986016800830335,27.18957299217613,16.82889726180819,4.557354096326892,7.3253905540357245,3.0066058097887853,6.509577311387703,2.698225520980606,3.713968838746542,1.2154257639617332,8.167929061680471,4.177053729521138,2.9600941275859487
19,43.10375766917022,7.2166591512068194,0.8262393181222772,3.398810885161745,4.151631459333425,4.182449595046157,4.4121044539226775,3.2981327155073292,3.0854016926133285,0.8817804741021461,9.114447403664272,0.07822448562260027,2.841481587980654
20,53.762236769993734,69.13145836320301,8.052750893366232,1.1740126947259981,8.250305878611343,0.047190124235545396,1.611280021033753,3.217988451823866,0.39701124493337026,4.2614665737773825,1.5166458401588325,2.230038074500385,2.659173572986175
21,21.59027126026618,91.88279858632373,10.182127383160848,1.6226261452918136,7.839513289079708,2.9498663216060006,7.781638201151241,3.9591420658329812,7.198554383451877,0.642980783779547,9.590842267353953,2.7402850197257624,1.9869225504860608
22,72.4441856349583,23.581104585107635,12.382568728530297,0.06491926377345361,8.643514344566261,0.06335205456344412,8.144280774824365,3.6908397200734933,2.6784790247974497,3.4057769440861962,3.600003077971789,2.4605980958969527,2.457078600990031
23,38.30741342075292,42.18232317253916,8.726544046542154,0.5350368550973778,4.801408740151484,2.170708016138814,9.713568998970862,3.3482576647695836,8.584470765462527,3.0542485223602354,5.7207433759504225,0.6786726505722963,5.6682168739101275
24,41.45626222179904,56.7953397030609,5.658970730810871,4.287971515284409,9.956699380657879,2.4809888772864612,9.601346338455025,2.6827662390228553,0.4857282163376805,2.409081617317174,4.251898890970111,2.766042055688462,8.100148570531879
25,64.85882195976124,55.282404929390935,12.496176767843108,2.1777141788331007,8.769658102273972,0.44502325542586163,9.247357709849274,1.5030782413823316,8.025817908822722,0.18238575536823814,9.79176089594825,2.2036880391590423,7.208857539112424
26,34.14528130712027,37.87557665308783,8.996465775301447,1.251371955132631,5.303302208555416,2.5637982542648907,9.345152886613388,4.624775798390022,1.5132452369224982,3.1191988230780723,2.6598529096968457,2.46425374356841,6.531289164774966
27,77.37312838553086,51.99120151182317,4.051219987911174,4.417239034890318,9.740718913463692,4.520003527989769,6.871309905120193,1.1057167391169922,2.3871973375499183,1.449136635321692,2.990361445606946,1.481429230917721,8.121299292328583
28,86.62187291502644,29.238445153778265,17.295736718436252,3.251698613834366,7.50728662500705,2.54649835755613,0.3603791129752194,4.863704808863043,2.805250212160002,2.230539776220085,9.124191030121743,0.015127310766113483,3.1856981765190397
29,82.26388466214824,90.30257042368906,9.47699524510022,2.7507794295716343,3.7778624097259743,3.126659348605308,2.714437762719211,4.902490481925225,8.181768552989746,2.368850214453052,4.168709606015872,2.258042054435221,3.2406562301462065
30,27.883991806805014,88.14124570691261,19.267755010731868,3.366231621656948,1.507571668179657,2.134116040672186,1.291838659770976,0.8685605564210024,6.9105468016083185,2.812679421734976,9.785056826832525,3.8756052102160683,4.765198580167861
31,87.78811971201802,54.30446084938531,19.35759120274692,4.962220956845468,9.12190549418128,0.774627395055877,3.8724225672961454,3.0901044046574198,2.4276176297196432,1.9271548888588628,9.521215923796703,1.4946167903680139,3.2711829359602222
32,95.52447271109773,0.2772754565142004,1.1781720055404985,3.625164733642725,1.5428386042198097,0.6408888551372169,2.6741730056824258,2.924325961253395,0.2649718959917494,2.7691341458209444,7.527425295546304,4.459413270055989,1.9187984122404615
33,39.79169663444985,37.74039841328861,19.113654899836707,2.7652369027242916,6.005298496797526,4.409772945134324,9.460611122257875,2.5659026098292603,4.486482308722567,4.032242802493437,8.659701952256174,0.17330514564864058,3.7507372651841067
34,88.25172309524575,75.93768068186323,0.28249550559337233,2.6256738047397117,9.08298952648855,4.6498157656802315,7.686822155836861,1.3688248472824713,8.597807626015998,2.764215382751975,1.4236654218569234,2.395449645015856,9.624629712719464
35,9.528268661438846,36.158648769865884,13.75572569932949,4.43463824957963,0.6927585248457673,1.9630389380953308,6.751117618564012,2.0656211512025906,7.013805396324072,3.7911170659268736,5.29496368650138,0.5384529950125752,7.350384053600657
36,82.69730814655347,15.041700738205607,19.88052871520165,3.891237147954989,6.6270020779237,3.191452090668248,8.898901715917294,2.602698021040244,6.245660282043709,1.2241511315222722,7.715269753280856,4.119395238225623,8.395541174769479
37,34.27443868918447,49.70897689567106,19.126540039205796,1.5385065961896147,1.646500801853419,4.990683883486669,4.551834965953485,3.9282674131389306,7.384847615478545,1.3812894920822623,9.693229882900841,3.781083365023113,3.0542926658434633
38,67.36362460926752,37.50790943646391,5.600958227910376,1.2340770464463422,7.9469927449177105,4.870924092129373,4.1596524395434,1.0944778664965464,1.54470584616378,1.8526114921854728,9.318166989663423,4.377996413409356,0.6229826394337842
39,61.35199840310228,55.62539087772584,12.65660697084173,2.137533844589836,3.8117715591386787,0.07315828374988684,9.97057988116038,1.6701036064823929,0.7523052932417053,1.025829847618374,9.420947356080266,4.013445844003234,5.328749073562912
40,20.323691761306968,0.5818898956212799,3.5496418381173833,3.64383079477434,2.3560760136130883,3.028697206534252,4.398372706190382,1.8386263725969154,9.431284910271778,0.008830468345896236,6.829526516293968,3.0065119969997474,6.8244424107873005
41,74.45984672770425,96.76160835725508,19.42720009240017,0.7316747662657797,4.550312741562571,3.0636162084687886,7.82809181650149,3.453802958612326,6.312383320385972,0.09910401316969078,4.612012901941821,3.0675479743787664,1.5828003098835597
42,85.20260457381767,75.42165592763513,6.554309045195579,0.8401025771130987,2.331062639186244,2.2793023503499565,4.036894641696592,1.3755256508255558,3.1531794384167586,0.7127658948481437,1.7480624104214488,1.8526494480429965,8.657536003680296
43,66.22002065377478,50.284032778318974,11.131361629982253,2.9414534969744026,4.473996545702245,4.570366964453587,8.917281974907167,1.361118076544181,8.5681319912877,1.6327382613424024,9.887093302299395,0.5123610039856088,6.235733824711448
44,2.2115244589601843,72.23694929432271,7.048250052669287,0.47387084953762126,1.116421524646057,4.779685054632417,2.1188220771104014,2.6866775785171755,2.9102922062403946,4.394511928580104,5.818020644834605,4.687963752837836,3.423792091789972
45,66.83556313441849,31.891956460366348,13.145700916076116,0.04294316192919634,8.415370378173394,2.042092603462066,1.3820563301231317,0.7897625630220311,5.0018933011534195,3.7618060673237714,0.7470531301899724,2.8148485720422793,2.4317103775955147
